"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Tyler Johnson","WR","NYJ","@BAL","2.6","2.1","2.6","1.6","2.1","2.6","7.2","6.0","Main"
"Dyami Brown","WR","JAX","@ARI","2.5","2.1","2.5","1.7","2.1","2.5","7.4","6.5","Main"
"Tyquan Thornton","WR","KC","IND","2.5","2.2","2.5","1.9","2.2","2.5","8.4","7.6","Main"
"Jeremy Ruckert","TE","NYJ","@BAL","2.5","1.9","3.2","1.2","1.9","2.5","6.2","4.8","Main"
"Tylan Wallace","WR","BAL","NYJ","2.4","1.9","2.4","1.5","1.9","2.3","7.1","6.1","Main"
"Jerome Ford","RB","CLE","@LV","2.3","1.9","2.3","1.5","1.9","2.3","6.4","5.5","Main"
"Dylan Sampson","RB","CLE","@LV","2.3","1.9","2.3","1.5","1.9","2.3","6.2","5.3","Main"
"Jalin Hyatt","WR","NYG","@DET","2.3","1.9","2.3","1.6","1.9","2.3","7.1","6.2","Main"
"Tank Bigsby","RB","PHI","@DAL","2.3","2.2","2.3","2.2","2.2","2.3","6.9","6.8","Main"
"Malik Davis","RB","DAL","PHI","2.1","2.0","2.1","2.0","2.0","2.1","5.9","5.7","Main"
"Savion Williams","WR","GB","MIN","2.1","1.8","2.1","1.4","1.8","2.1","6.2","5.4","Main"
"Xavier Smith","WR","LA","TB","2.1","1.7","2.1","1.4","1.7","2.1","6.6","5.7","Sunday"
"Kyle Williams","WR","NE","@CIN","2.1","1.8","2.1","1.5","1.8","2.1","7.1","6.4","Main"
"Dont'e Thornton","WR","LV","CLE","2.0","1.7","2.0","1.4","1.7","2.0","6.6","5.8","Main"
"Tahj Brooks","RB","CIN","NE","1.9","1.7","1.9","1.4","1.7","1.9","5.8","5.2","Main"
"Malachi Corley","WR","CLE","@LV","1.9","1.5","1.9","1.2","1.5","1.9","5.6","4.8","Main"
"Luke Schoonmaker","TE","DAL","PHI","1.9","1.5","2.3","1.0","1.5","1.9","5.5","4.5","Main"
"Drew Sample","TE","CIN","NE","1.8","1.3","2.2","0.9","1.3","1.8","5.0","4.0","Main"
"Mo Alie-Cox","TE","IND","@KC","1.8","1.4","2.1","1.0","1.4","1.8","5.2","4.3","Main"
"Ameer Abdullah","RB","IND","@KC","1.7","1.5","1.7","1.2","1.5","1.7","5.7","5.0","Main"
"LeQuint Allen","RB","JAX","@ARI","1.7","1.3","1.7","1.0","1.3","1.7","5.2","4.3","Main"
"Johnny Mundt","TE","JAX","@ARI","1.7","1.3","2.0","1.0","1.3","1.7","5.2","4.3","Main"
"Hunter Luepke","RB","DAL","PHI","1.6","1.3","1.6","0.9","1.3","1.6","5.2","4.2","Main"
"Will Shipley","RB","PHI","@DAL","1.6","1.3","1.6","1.1","1.3","1.6","5.2","4.6","Main"
"Brycen Tremayne","WR","CAR","@SF","1.5","1.2","1.5","0.9","1.2","1.5","5.1","4.3","Monday"
"Cade Stover","TE","HOU","BUF","1.5","1.1","1.8","0.8","1.1","1.5","4.5","3.6","Thursday"
"Josh Oliver","TE","MIN","@GB","1.5","1.2","1.9","0.9","1.2","1.5","4.7","3.8","Main"
"Kendrick Bourne","WR","SF","CAR","1.5","1.2","1.5","1.0","1.2","1.5","5.2","4.4","Monday"
"Mitchell Evans","TE","CAR","@SF","1.4","1.1","1.7","0.8","1.1","1.4","4.6","3.8","Monday"
"Jack Bech","WR","LV","CLE","1.4","1.2","1.4","0.9","1.2","1.4","4.9","4.1","Main"
"Kaleb Johnson","RB","PIT","@CHI","1.4","1.4","1.4","1.3","1.4","1.4","4.6","4.5","Main"
"Josh Whyle","TE","GB","MIN","1.3","1.1","1.6","0.8","1.1","1.3","4.5","3.8","Main"
"Grant Calcaterra","TE","PHI","@DAL","1.3","1.0","1.6","0.8","1.0","1.3","4.3","3.6","Main"
"George Holani","RB","SEA","@TEN","1.2","1.2","1.2","1.2","1.2","1.2","4.1","4.1","Main"
"Casey Washington","WR","ATL","@NO","1.1","0.9","1.1","0.7","0.9","1.1","4.2","3.5","Main"
"Ray Davis","RB","BUF","@HOU","1.1","0.9","1.1","0.8","0.9","1.1","3.9","3.5","Thursday"
"Clyde Edwards-Helaire","RB","KC","IND","1.1","1.0","1.1","0.9","1.0","1.1","3.8","3.6","Main"
"Ross Dwelley","TE","DET","NYG","1.0","0.9","1.2","0.7","0.9","1.0","4.0","3.4","Main"
"Ashton Dulin","WR","IND","@KC","1.0","0.9","1.0","0.7","0.9","1.0","3.8","3.3","Main"
"Jimmy Horn","WR","CAR","@SF","0.9","0.8","0.9","0.6","0.8","0.9","3.4","2.9","Monday"
"Tyler Goodson","RB","IND","@KC","0.9","0.7","0.9","0.6","0.7","0.9","3.4","2.9","Main"
"Adam Thielen","WR","MIN","@GB","0.9","0.7","0.9","0.5","0.7","0.9","3.4","2.8","Main"
"Arian Smith","WR","NYJ","@BAL","0.9","0.7","0.9","0.6","0.7","0.9","3.4","2.9","Main"
"Luke Farrell","TE","SF","CAR","0.9","0.7","1.0","0.5","0.7","0.9","3.4","2.8","Monday"
"Kylen Granson","TE","PHI","@DAL","0.8","0.6","0.9","0.4","0.6","0.8","3.0","2.4","Main"
"Charlie Woerner","TE","ATL","@NO","0.7","0.5","0.8","0.4","0.5","0.7","2.7","2.1","Main"
"Gary Brightwell","RB","CIN","NE","0.7","0.7","0.7","0.7","0.7","0.7","2.8","2.8","Main"
"Xavier Restrepo","WR","TEN","SEA","0.7","0.6","0.7","0.4","0.6","0.7","3.0","2.4","Main"
"James Proche","WR","TEN","SEA","0.7","0.5","0.7","0.4","0.5","0.7","2.7","2.2","Main"
"Andre Baccellia","WR","ARI","JAX","0.6","0.5","0.6","0.4","0.5","0.6","2.4","2.0","Main"
"Brevyn Spann-Ford","TE","DAL","PHI","0.6","0.5","0.7","0.3","0.5","0.6","2.4","1.8","Main"
